7,2.2887,5.5446,4.5791,5.2290,4.6015
8,5.7394,6.7842,0.7339,6.1503,4.0954
9,2.7485,8.5512,5.0154,2.6262,3.6413
10,4.2697,8.0989,4.3229,4.9103,4.0027
11,10.9853,7.6547,1.8317,5.3640,4.2960,5.0913
12,4.3011,1.8145,4.1164,7.0768,4.3891
13,8.4208,2.0130,3.4486,1.6692,10.4650,3.7364
14,2.3442,6.8158,5.5215,3.1466,9.1140,4.4554
15,5.9000,9.9435,4.8610,5.3464,4.7586,4.3726,6.7286
16,2.1000,4.8456,17.4125,6.8714,2.8745,2.9489,4.7327,5.1443
17,6.5983,5.9880,1.5792,5.2785,3.3458,4.1625,3.0769
18,5.3967,2.6189,1.9364,3.7128,1.8719,3.6000,4.0485
19,6.3500,2.2492,5.1217,1.1979,1.5488,2.7000,3.5269
20,4.7862,1.4275,2.2144,2.0840,1.3945,2.4067,6.0110
21,2.5828,4.0812,1.2588,1.4160,2.0306,1.6173
22,4.7554,4.1508,2.2024,4.3031,2.4947,3.9419


statistic,7,8,9,10,11,12,13,14,15,16,17,18,19
min,2.2887,0.7339,2.6262,4.0027,1.8317,1.8145,1.6692,2.3442,4.3726,2.1000,1.5792,1.8719,1.1979,1.3945,1.2588,2.2024
Q1,2.2887,0.7339,2.6262,4.0027,1.8317,1.8145,1.6692,2.3442,4.3726,2.8745,1.5792,1.8719,1.1979,1.3945,1.2588,2.2024
median,4.5791,4.0954,2.7485,4.2697,5.0913,4.1164,3.4486,4.4554,4.861,4.7327,3.3458,2.6189,2.2492,2.084,1.6173,3.9419
Q3,4.6015,5.7394,3.6413,4.3229,5.364,4.3011,3.7364,5.5215,5.9,5.1443,5.2785,3.7128,3.5269,2.4067,2.0306,4.1508
max,5.5446,6.7842,8.5512,8.0989,10.9853,7.0768,10.4650,9.1140,9.9435,17.4125,6.5983,5.3967,6.3500,6.0110,4.0812,4.7554
avg,4.44858,4.70064,4.516520000000001,5.120900000000001,5.8705,4.33958,4.958833333333334,5.232916666666667,5.987242857142857,5.8662375,4.289885714285715,3.3121714285714283,3.2420714285714287,2.9034714285714287,2.16445,3.641383333333333
range,3.2559,6.0503,5.9250,4.0962,9.1536,5.2623,8.7958,6.7698,5.5709,15.3125,5.0191,3.5248,5.1521,4.6165,2.8224,2.5530


Diff min,2.2887,0.7339,2.6262,4.0027,1.8317,1.8145,1.6692,2.3442,4.3726,2.1000,1.5792,1.8719,1.1979,1.3945,1.2588,2.2024
Diff Q1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Diff median,2.2904,3.3615,0.1223,0.2670,3.2596,2.3019,1.7794,2.1112,0.4884,1.8582,1.7666,0.7470,1.0513,0.6895,0.3585,1.7395
Diff Q3,0.0224,1.6440,0.8928,0.0532,0.2727,0.1847,0.2878,1.0661,1.0390,0.4116,1.9327,1.0939,1.2777,0.3227,0.4133,0.2089
Diff max,0.9431,1.0448,4.9099,3.7760,5.6213,2.7757,6.7286,3.5925,4.0435,12.2682,1.3198,1.6839,2.8231,3.6043,2.0506,0.6046
